Name,Price,Features,Ratings
"Bestor Ultra-Low Friction Gaming Mat, Anti-Slip Base, H...",₹199,Black,4.3
Cranique Sleeve for PS5 Gaming Console Playstation 5 Di...,₹299,"Grey, Waterproof, Pack of: 1",4.4
WILDBRAIN Combo pack of touch smoothly run finger sleev...,₹228,"Red&Black, For Android",3.6
Ruhi Collection Free Fire /Call of Duty/PubG Mobile Gam...,₹145,"Black, For Android",4.1
RPM Euro Games Finger Sleeves For Mobile Gaming Anti-Sw...,₹269,"Black, For Android, iOS",3.8
TEWENT finger sleeves for pubg  Gaming Accessory Kit,₹153,"Black, Yellow, For Android, iOS",3.8
EVOFOX Frost 15.6 inches with blue LED 2 Fan Cooling Pa...,₹879,Grey,4.3
AMD Ryzen 5 5600G 3.9 GHz Upto 4.4 GHz AM4 Socket 6 Cor...,"₹12,439",Grey,4.5
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 7535HS - ...,"₹70,990","15.6 Inch, Onyx Grey, 2.32 Kg, With MS Office",4.3
AFOD T1 PUBG Triggers for Mobile Gaming for BGMI/Free F...,₹798,"Black, For Android, iOS",4
AMD Ryzen 5 8500G 3.5 GHz Upto 5 GHz AM5 Socket 6 Cores...,"₹14,759",Silver,4.6
AMD Ryzen 5 5600GT 3.6 GHz AM4 Socket 6 Cores 12 Thread...,"₹12,959",Silver,4.5
Lenovo LOQ Intel Core i5 12th Gen 12450H - (16 GB/512 G...,"₹92,999","15.6 Inch, Storm Grey, 2.4 kg, With MS Office",4.3
Cubonic Auto Gun Red Thorn M16 PUBG Wireless Controller...,₹699,"Black, For Android, iOS",3.7
Mopslik PUBG Mobile Game Metal Controller Joystick Mobi...,₹240,"Silver, For PC",3.5
SARASI Super Anti-Sweat & Breathable Sleeve PUBG & FREE...,₹295,"Black, For Android",3.9
"Elixora IceStorm RGB Gaming Phone Cooler , Silent Cooli...","₹1,419","Multicolor, For Android, iOS",3.8
We Desi Stuff Gta Mousepad | Gaming Mousepad Mousepad,₹211,Multicolor,4
Viraan Combo pack of 2 pair finger sleeves and Shark Sh...,₹340,"Blue Trigger, Black Sleeves, For iOS, Android","4"
Hgworld PS4 Controller Wireless Best Alternative to Pla...,"₹1,264","Blue, For PS4, PC, Windows 10",3.9
"Cubonic Magnetic Phone Cooler Fan, RGB Portable Radiato...","₹1,199","Black, For Android, iOS",4.1
AMD Ryzen 7 9700X 3.8 GHz Upto 5.5 GHz AM5 Socket 8 Cor...,"₹36,219",Silver,5
Hgworld PS4 Controller Wireless Best Alternative to Pla...,"₹1,092","White, For PS4, PC, Windows 10",3.9
Acer Nitro V Intel Core i7 13th Gen 13620H - (16 GB/1 T...,"₹91,980","15.6 inch, Obsidian Black, 2.1 Kg",3.4
HP Victus AMD Ryzen 7 Octa Core 6800H - (16 GB/512 GB S...,"₹74,990","16.1 Inch, Mica Silver, 2.48 Kg, With MS Office",4.3
HP Victus AMD Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SS...,"₹57,800","15.6 inch, Mica Silver, 2.37 kg, With MS Office",4.1
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (8 G...,"₹52,990","15.6 inch, Graphite Black, 2.30 Kg",4.2
AMD Ryzen 5 7600 3.8 GHz Upto 5.1 GHz AM5 Socket 6 Core...,"₹19,269",Silver,4.6
Acer Nitro V Intel Core i5 13th Gen 13420H - (16 GB/512...,"₹79,990","15.6 Inch, Shale Black, 2.1 kg",4.3
"Zusix K10 Mobile Radiator Cooling Fan, Semiconductor Te...",₹998,"White, For Android, iOS",4.3
Bestor Dual-Sided Multifunctional Desk Pad For PC/LAPTO...,₹699,Silver&Grey,4.5
"Cubonic X76 Wired Magnetic Mobile Cooler, Gaming Fan, E...","₹1,199",Black,4.2
Extreme One Handed Gaming Keyboard Mouse for Mobile  Ga...,"₹3,009","Black, For Android, Mac OS, PC, iOS",3.7
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core AMD R5-56...,"₹69,990","15.6 inch, Shadow Black, 2.25 kg, With MS Office",4.3
ASUS Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows ...,"₹57,624","15.6 inch, Black, With MS Office",4.1
"ELEPHANTBOAT Phone Cooler Gaming Fan, 3 Speed Adjustabl...","₹1,117","Black, For Android, iOS",3.6
"Bestor PU Vegan Leather Mouse Pad, Reversible use, Suit...",₹229,Blue&Tan,4.2
STORITE RGB Gaming Mouse Pad with 14 LED Lighting Modes...,₹799,Black,4.4
NoddyHuB AIR-D  Gaming Accessory Kit,₹241,"White, For Android, iOS",3.5
"QuiteFit Combo 4pcs PubG Finger Sleeve, 2 EarPhone Pouc...",₹189,"Black, For Android, iOS",3.8
"Bestor Ultra-Low Friction Gaming Mat, Anti-Slip Base, H...",₹199,Black,4.3
Cranique Sleeve for PS5 Gaming Console Playstation 5 Di...,₹299,"Grey, Waterproof, Pack of: 1",4.4
LAPCARE DCX-A101 2 Fan Cooling Pad,₹649,"Red&Black, For Android",4.2
Flipkart SmartBuy FKSBCPK17 2 Fan Cooling Pad,₹749,"Black, For Android",4.2
"STRIFF Extended Size(800mmx300mmx3mm)Gaming Mouse Pad,N...",₹191,"Black, For Android, iOS",4.4
SpinBot GS-1P  Gaming Accessory Kit,₹215,"Black, Yellow, For Android, iOS",3.9
EVOFOX Frost 15.6 inches with blue LED 2 Fan Cooling Pa...,₹879,Grey,4.3
AMD Ryzen 5 5600G 3.9 GHz Upto 4.4 GHz AM4 Socket 6 Cor...,"₹12,439",Grey,4.5
EVOFOX Elite X Wireless USB  Gamepad,"₹1,699","15.6 Inch, Onyx Grey, 2.32 Kg, With MS Office",4.3
spincart Large Gaming XXL Extended Mouse Pad with Nonsl...,₹199,"Black, For Android, iOS",4.5
AMD Ryzen 5 8500G 3.5 GHz Upto 5 GHz AM5 Socket 6 Cores...,"₹14,759",Silver,4.6
AMD Ryzen 5 5600GT 3.6 GHz AM4 Socket 6 Cores 12 Thread...,"₹12,959",Silver,4.5
EVOFOX Elite X Wireless  Gamepad,"₹1,699","15.6 Inch, Storm Grey, 2.4 kg, With MS Office",4.3
STRIFF Gel Wrist Support Mouse pad Gaming Mouse Pad wit...,₹199,"Black, For Android, iOS",4.3
Ant Esports VS450L 450 Watts PSU,"₹1,880","Silver, For PC",4.3
PS5 - Uncharted : Legacy Of Thieves collection,"₹1,499","Black, For Android",4.6
"Elixora IceStorm RGB Gaming Phone Cooler , Silent Cooli...","₹1,419","Multicolor, For Android, iOS",3.8
"Cubonic Magnetic Phone Cooler Fan, RGB Portable Radiato...","₹1,199",Multicolor,4.1
"The Last of Us (Part II, PS4) (Standard+ Edition)","₹1,399","Blue Trigger, Black Sleeves, For iOS, Android",4.4
ZEBRONICS ZEB-NC3300 2 Fan Cooling Pad,₹599,"Blue, For PS4, PC, Windows 10",4.1
We Desi Stuff Gta Mousepad | Gaming Mousepad Mousepad,₹211,"Black, For Android, iOS",4
AMD Ryzen 7 9700X 3.8 GHz Upto 5.5 GHz AM5 Socket 8 Cor...,"₹36,219",Silver,5
STRIFF Mousepad_Black_Packof2 Mousepad,₹165,"White, For PS4, PC, Windows 10",4.4
"GTPLAYER #1 USA Gaming Chair | Massage Pillow, Footrest...","₹10,999","15.6 inch, Obsidian Black, 2.1 Kg",4.5
"GTPLAYER #1 USA Gaming Chair | Massage Pillow, Footrest...","₹10,999","16.1 Inch, Mica Silver, 2.48 Kg, With MS Office",4.5
"STRIFF Extended Size(800mmx300mmx3mm)Gaming Mouse Pad,N...",₹226,"15.6 inch, Mica Silver, 2.37 kg, With MS Office",4.4
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (8 G...,"₹52,990","15.6 inch, Graphite Black, 2.30 Kg",4.2
AMD Ryzen 5 7600 3.8 GHz Upto 5.1 GHz AM5 Socket 6 Core...,"₹19,269",Silver,4.6
ZOTAC NVIDIA GeForce RTX 3060 Twin Edge 12 GB GDDR6 Gra...,"₹26,947","15.6 Inch, Shale Black, 2.1 kg",4.5
"GTPLAYER #1 USA Gaming Chair | Massage Pillow, Footrest...","₹10,999","White, For Android, iOS",4.5
Bestor Dual-Sided Multifunctional Desk Pad For PC/LAPTO...,₹699,Silver&Grey,4.5
"Cubonic X76 Wired Magnetic Mobile Cooler, Gaming Fan, E...","₹1,199",Black,4.2
EVOFOX Frost 15.6 inches with blue LED 2 Fan Cooling Pa...,₹879,"Black, For Android, Mac OS, PC, iOS",4.3
Red Dead Redemption 2,"₹2,199","15.6 inch, Shadow Black, 2.25 kg, With MS Office",4.4
SONY DualShock 4 Wireless Controller Bluetooth  Gamepad,"₹4,849","15.6 inch, Black, With MS Office",4.1
ZOTAC NVIDIA GAMING GEFORCE RTX 3050 ECO 8 GB GDDR6 Gra...,"₹21,316","Black, For Android, iOS",4.5
"Bestor PU Vegan Leather Mouse Pad, Reversible use, Suit...",₹229,Blue&Tan,4.2
STORITE RGB Gaming Mouse Pad with 14 LED Lighting Modes...,₹799,Black,4.4
GREEN SOUL Monster Ult. (T) Multi-Functional Ergonomic ...,"₹19,699","White, For Android, iOS",4.5
Ant Esports VS600L 600 Watts PSU,"₹2,421","Black, For Android, iOS",4.4
Acer Nitro V AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 ...,₹199,Black,4.3
ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS - (16 ...,₹299,"Grey, Waterproof, Pack of: 1",4.4
ZEBRONICS NVIDIA ZEB-GT610 2 GB DDR3 Graphics Card,₹649,"Red&Black, For Android",3.9
Drogo Multi-Purpose Ergonomic Gaming Chair with Adjusta...,₹749,"Black, For Android",4.6
EVOFOX Elite Play Wireless Controller with Touch Panel ...,₹191,"Black, For Android, iOS",4.1
TECHON  TV-out Cable Cable 1.5 M 15 Pin VGA Cable for L...,₹215,"Black, Yellow, For Android, iOS",3.6
"Aliens Mobile Cooler Gaming Fan, Applicable Mobile Phon...",₹879,Grey,5
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (12 GB/512 ...,"₹12,439",Grey,4.3
GIGABYTE NVIDIA GeForce RTX 3060 pci_e_x16 WINDFORCE OC...,"₹1,699","15.6 Inch, Onyx Grey, 2.32 Kg, With MS Office",4.7
Technology Ahead  TV-out Cable OPTICAL CABLE BLACK 1.5M,₹199,"Black, For Android, iOS",4.1
MSI Thin 15 Intel Core i5 13th Gen 13420H - (16 GB/512 ...,"₹14,759",Silver,4
MSI Cyborg 15 Intel Core i5 12th Gen 12450H - (16 GB/51...,"₹12,959",Silver,4.6
AMD Ryzen 5 3400G with Radeon RX Vega 11 Graphics & Wra...,"₹1,699","15.6 Inch, Storm Grey, 2.4 kg, With MS Office",3.7
RAEGR RapidCool 900 Aluminum Laptop Cooling Pad with Mu...,₹199,"Black, For Android, iOS",4
DARSHANAM WORLD Gaming Mat Anti-Slip Base High Durabili...,"₹1,880","Silver, For PC",4.4
EVOFOX Elite Play Wireless Controller with Touch Panel ...,"₹1,499","Black, For Android",4.1
AMD Ryzen 5 5600G 3.9 GHz Upto 4.4 GHz AM4 Socket 6 Cor...,"₹1,419","Multicolor, For Android, iOS",4.5
We Desi Stuff Gta Mousepad | Gaming Mousepad Mousepad,"₹1,199",Multicolor,4
AMD Ryzen 9 7950X 4.5 GHz Upto 5.7 GHz AM5 Socket 16 Co...,"₹1,399","Blue Trigger, Black Sleeves, For iOS, Android",3.5
ZOTAC NVIDIA GeForce RTX 4060 Ti Twin Edge 8 GB GDDR6 G...,₹599,"Blue, For PS4, PC, Windows 10",4.8
"Cubonic Magnetic Phone Cooler Fan, RGB Portable Radiato...",₹211,"Black, For Android, iOS",4.1
"Elixora IceStorm RGB Gaming Phone Cooler , Silent Cooli...","₹36,219",Silver,3.8
Logitech Gamepad F310,₹165,"White, For PS4, PC, Windows 10",4.5
AMD Ryzen 5 5500GT 3.6 GHz AM4 Socket 6 Cores 12 Thread...,"₹10,999","15.6 inch, Obsidian Black, 2.1 Kg",4.5
"Etake Large Gaming Mouse Pad with Nonslip Base, Waterpr...","₹10,999","16.1 Inch, Mica Silver, 2.48 Kg, With MS Office",4.4
Intel i5 3570 3.4 GHz Upto 4 GHz LGA 1155 Socket 4 Core...,₹226,"15.6 inch, Mica Silver, 2.37 kg, With MS Office",4
MSI Sword 16 HX Intel Core i9 13th Gen 13980HX - (32 GB...,"₹52,990","15.6 inch, Graphite Black, 2.30 Kg",4
Bestor Dual-Sided Multifunctional Desk Pad For PC/LAPTO...,"₹19,269",Silver,4.5
PS5 Grand Theft Auto V,"₹26,947","15.6 Inch, Shale Black, 2.1 kg",4.5
Frontech NVIDIA GT 610 | 64 Bits PCIe 2.0 | High Effici...,"₹10,999","White, For Android, iOS",4
Kreo Iceberg Compact Mobile Cooler for Android/IOS Smar...,₹699,Silver&Grey,4
Lenovo LOQ AMD Ryzen 5 Quad Core 7235HS - (12 GB/512 GB...,"₹1,199",Black,4.4
Intel i7-12700 4.9 GHz Upto 4.9 GHz LGA1700 Socket 12 C...,₹879,"Black, For Android, Mac OS, PC, iOS",4.5
GREEN SOUL Beast Gaming Ergonomic|Gaming & WFH|3D Armre...,"₹2,199","15.6 inch, Shadow Black, 2.25 kg, With MS Office",4.4
TECHON  TV-out Cable Hdmi To Vga Converter Adapter Cabl...,"₹4,849","15.6 inch, Black, With MS Office",3.6
Marvel's Spider Man (Game of the Year Edition),"₹21,316","Black, For Android, iOS",4.4
AMD Ryzen 5 8500G 3.5 GHz Upto 5 GHz AM5 Socket 6 Cores...,₹229,Blue&Tan,4.6
STORITE RGB Gaming Mouse Pad with 14 LED Lighting Modes...,₹799,Black,4.4
Kreo Frost Mobile Cooler for Android/iOS Smartphones  G...,"₹19,699","White, For Android, iOS",3.7
Nicholas Waterproof Non skid mousepad Mousepad (Multico...,"₹2,421","Black, For Android, iOS",4.2
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (8 G...,"₹52,990","15.6 inch, Graphite Black, 2.30 Kg",4.2
Acer Nitro V AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 ...,"₹56,990","15.6 Inch, Obsidian Black, 2.1 Kg",4.3
Intel Core i5 3570 Best Performance 3rd Generation 3.4 ...,"₹2,200",Silver,4
GREEN SOUL Raptor_Black_2.0_FK Raptor 2.0 Multi-Functio...,"₹11,999",Black,4.4
Drogo Multi-Purpose Ergonomic Gaming Chair with Adjusta...,"₹16,990",Maroon,4.6
AMD Ryzen7 7800X 3D 4.2 GHz AM5 Socket 8 Cores Desktop ...,"₹45,769",Silver,4
"Aliens Mobile Cooler Gaming Fan, Applicable Mobile Phon...",₹854,"Yellow, For Android, iOS",5
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (12 GB/512 ...,"₹58,990","15.6 inch, Luna Grey, 2.38 kg",4.3
GREEN SOUL Monster Ult. (S) Multi-Functional Ergonomic ...,"₹19,699","Black, White",4.4
Intel Core i5 13400F (6 Performance Cores and 4 Efficie...,"₹17,299",blue-(Graphics Card Required for Display),4.4
We Desi Stuff Gta Mousepad | Gaming Mousepad Mousepad,₹211,Multicolor,4
MSI Thin 15 Intel Core i5 13th Gen 13420H - (16 GB/512 ...,"₹56,990","15.6 Inch, Cosmos Gray, 1.86 Kg",4
Portronics Cool XG Instant Magnetic Mobile Cooler With ...,₹899,"Black, For Android, iOS",4.3
GREEN SOUL Beast Gaming Ergonomic Chair|Gaming & WFH|3D...,"₹15,699","Black, Yellow",4.4
OTHER  TV-out Cable 5 meter Stereo AUX 3.5mm male Jack ...,₹285,"Black, For Home Theater",4
Cosmic Byte Meteroid RGB Cooling Pad,"₹1,999",Blue,4.3
AMD Ryzen 5 5600G 3.9 GHz Upto 4.4 GHz AM4 Socket 6 Cor...,"₹12,439",Grey,4.5
"Cubonic Magnetic Phone Cooler Fan, RGB Portable Radiato...","₹1,199","Black, For Android, iOS",4.1
"Ant Esports SI25 Support ATX, Micro- ATX, Mini-ITX | Pr...","₹1,841",Black,4.1
MICROSOFT Wireless Controller Bluetooth  Gamepad,"₹5,239","CNTRLLR BLACK, For Xbox One, Xbox Series X, Xbox Series S",4.6
MSI Cyborg 15 Intel Core i5 12th Gen 12450H - (16 GB/51...,"₹56,990","15.6 Inch, Translucent Black, 1.98 Kg",4.6
"Elixora IceStorm RGB Gaming Phone Cooler , Silent Cooli...","₹1,419","Multicolor, For Android, iOS",3.8
"COOLER MASTER MWE 450 Bronze V2 230v, 80 Plus Bronze Ce...","₹3,349",Black,4.5
DWH Wireless Controller compatible with Playstation 4 P...,₹999,"Black, For PS4",3.8
GREEN SOUL Monster Ult. (S) Multi-Functional Ergonomic ...,"₹19,699","Black, Red",4.4
NINTENDO Switch OLED Console with Neon Blue Neon Red Jo...,"₹27,490","Black, No, but compatible with additional Joy-Con or Pro Controller (sold separately)",4.6
Bestor Dual-Sided Multifunctional Desk Pad For PC/LAPTO...,₹699,Silver&Grey,4.5
Kreo Iceberg Compact Mobile Cooler for Android/IOS Smar...,₹999,"Black, For Android, iOS",4
GREEN SOUL Monster Ult. (S) Multi-Functional Ergonomic ...,"₹19,699",Black,4.4
Hgworld Playstation Dualshock4 Wireless Gamepad | High ...,"₹1,278","Cyberpunk, Vibration Feedback Remote Play, For Sony Slim&Pro&Phat Gaming Joystick, For PS4, PC","4"
STORITE RGB Gaming Mouse Pad with 14 LED Lighting Modes...,₹799,Black,4.4
"Cubonic X76 Wired Magnetic Mobile Cooler, Gaming Fan, E...","₹1,199",Black,4.2
Cricket 24,"₹2,188",for PS5,"4.4"
EVOFOX Elite Ops Wireless with Type C Charging USB  Gam...,"₹1,499","Grey, For Android, PC, PS3",4
GREEN SOUL Beast Gaming Ergonomic Chair|Gaming & WFH|3D...,"₹15,699","Black, White",4.4
"Frontech PS-0006 SMPS Compliant with ATX 12V, 20/24 Pin...","₹1,049",Black,4
AMD Ryzen 5 8500G 3.5 GHz Upto 5 GHz AM5 Socket 6 Cores...,"₹14,759",Silver,4.6
Lenovo LOQ AMD Ryzen 5 Quad Core 7235HS - (12 GB/512 GB...,"₹54,990","15.6 Inch, Luna Grey, 2.38 Kg, With MS Office",4.4
"Doat Premium Quality Mouse Pad for Laptop, Notebook, Ga...",₹128,Hp,4.4
"Doat Premium Quality Mouse Pad for Laptop, Notebook, Ga...",₹154,Black,4.4
"Bestor Ultra-Low Friction Gaming Mat, Anti-Slip Base, H...",₹199,"15.6 inch, Graphite Black, 2.30 Kg",4.3
Cranique Sleeve for PS5 Gaming Console Playstation 5 Di...,₹299,"15.6 Inch, Obsidian Black, 2.1 Kg",4.4
Cosmic Byte Meteroid RGB Cooling Pad,"₹1,999",Silver,4.3
"Ant Esports SI25 Support ATX, Micro- ATX, Mini-ITX | Pr...","₹1,841",Black,4.1
GREEN SOUL Monster Ult. (S) Multi-Functional Ergonomic ...,"₹19,699",Maroon,4.4
DWH Wireless Controller compatible with Playstation 4 P...,₹999,Silver,3.8
EVOFOX Frost 15.6 inches with blue LED 2 Fan Cooling Pa...,₹879,"Yellow, For Android, iOS",4.3
AMD Ryzen 5 5600G 3.9 GHz Upto 4.4 GHz AM4 Socket 6 Cor...,"₹12,439","15.6 inch, Luna Grey, 2.38 kg",4.5
"COOLER MASTER MWE 450 Bronze V2 230v, 80 Plus Bronze Ce...","₹3,349","Black, White",4.5
MICROSOFT Wireless Controller Bluetooth  Gamepad,"₹5,239",blue-(Graphics Card Required for Display),4.6
AMD Ryzen 5 8500G 3.5 GHz Upto 5 GHz AM5 Socket 6 Cores...,"₹14,759",Multicolor,4.6
AMD Ryzen 5 5600GT 3.6 GHz AM4 Socket 6 Cores 12 Thread...,"₹12,959","15.6 Inch, Cosmos Gray, 1.86 Kg",4.5
GREEN SOUL Monster Ult. (S) Multi-Functional Ergonomic ...,"₹19,699","Black, For Android, iOS",4.4
NINTENDO Switch OLED Console with Neon Blue Neon Red Jo...,"₹27,490","Black, Yellow",4.6
Cricket 24,"₹2,188","Black, For Home Theater",4.4
"Frontech PS-0006 SMPS Compliant with ATX 12V, 20/24 Pin...","₹1,049",Blue,4
"Elixora IceStorm RGB Gaming Phone Cooler , Silent Cooli...","₹1,419",Grey,3.8
"Cubonic Magnetic Phone Cooler Fan, RGB Portable Radiato...","₹1,199","Black, For Android, iOS",4.1
Hgworld Playstation Dualshock4 Wireless Gamepad | High ...,"₹1,278",Black,4
GREEN SOUL Beast Gaming Ergonomic Chair|Gaming & WFH|3D...,"₹15,699","CNTRLLR BLACK, For Xbox One, Xbox Series X, Xbox Series S",4.4
We Desi Stuff Gta Mousepad | Gaming Mousepad Mousepad,₹211,"15.6 Inch, Translucent Black, 1.98 Kg",4
AMD Ryzen 7 9700X 3.8 GHz Upto 5.5 GHz AM5 Socket 8 Cor...,"₹36,219","Multicolor, For Android, iOS",5
EVOFOX Elite Ops Wireless with Type C Charging USB  Gam...,"₹1,499",Black,4
"Doat Premium Quality Mouse Pad for Laptop, Notebook, Ga...",₹128,"Black, For PS4",4.4
"Doat Premium Quality Mouse Pad for Laptop, Notebook, Ga...",₹154,"Black, Red",4.4
AMD Ryzen 7 5700G 3.8 GHz Upto 4.6 GHz AM4 Socket 8 Cor...,"₹18,829","Black, No, but compatible with additional Joy-Con or Pro Controller (sold separately)",4.5
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (8 G...,"₹52,990",Silver&Grey,4.2
AMD Ryzen 5 7600 3.8 GHz Upto 5.1 GHz AM5 Socket 6 Core...,"₹19,269","Black, For Android, iOS",4.6
Hgworld Retro Game Stick 2.4G Wireless Classic Video Ga...,"₹1,349",Black,3.6
AMD Ryzen 7 5700X3D 3 GHz AM4 Socket 8 Cores 16 Threads...,"₹25,239","Cyberpunk, Vibration Feedback Remote Play, For Sony Slim&Pro&Phat Gaming Joystick, For PS4, PC",4.7
Bestor Dual-Sided Multifunctional Desk Pad For PC/LAPTO...,₹699,Black,4.5
"Cubonic X76 Wired Magnetic Mobile Cooler, Gaming Fan, E...","₹1,199",Black,4.2
PEARIVE Premium Black & Red Anti-Slip Deskspread Extend...,₹267,for PS5,4.5
Inno3D NVIDIA GeForce RTX 3050 TWIN X2 8 GB GDDR6 Graph...,"₹20,371","Grey, For Android, PC, PS3",4.5
TECHON  TV-out Cable TV-out Cable 1.5 Meters High Quali...,₹210,"Black, White",3.6
"AlexVyan  TV-out Cable HDMI Switch Splitter, 2 Port Bi-...",₹429,Black,4
"Bestor PU Vegan Leather Mouse Pad, Reversible use, Suit...",₹229,Silver,4.2
AMD Ryzen 7 7700X 4.5 GHz Upto 5.4 GHz AM5 Socket 8 Cor...,"₹33,039","15.6 Inch, Luna Grey, 2.38 Kg, With MS Office",3.9
"Cubonic Arctic PRO Cooling Fan for Mobile Pubg, Cod, Fr...","₹1,153",Hp,3.8
Cricket 24,"₹2,999",Black,"4.4"
"Bestor Ultra-Low Friction Gaming Mat, Anti-Slip Base, H...",₹199,Black,4.3
Cranique Sleeve for PS5 Gaming Console Playstation 5 Di...,₹299,"Grey, Waterproof, Pack of: 1",4.4
"spincart Large Gaming Mouse Pad with Nonslip Base,Water...",₹219,Black,4.5
Logitech DRIVING FORCE SHIFTER  Motion Controller,"₹6,299","Black, For Xbox One, PS4, PC",4.4
Intel Core i5-4570 (4TH Gen) Quad-Core 6MB Cache 3.2 GH...,"₹1,775",Silver,4.2
Horizon Forbidden West Edn. (Complete Edition),"₹2,999",for PS5,4.8
EVOFOX Frost 15.6 inches with blue LED 2 Fan Cooling Pa...,₹879,Grey,4.3
AMD Ryzen 5 5600G 3.9 GHz Upto 4.4 GHz AM4 Socket 6 Cor...,"₹12,439",Grey,4.5
Ant Esports FP750B 750 Watt 750 Watts PSU,"₹5,003",Black,"4"
Warhammer GX1050 Speed Type Mouse Pad Gaming Mousepad,₹289,"Red, Black",4.6
AMD Ryzen 5 8500G 3.5 GHz Upto 5 GHz AM5 Socket 6 Cores...,"₹14,759",Silver,4.6
AMD Ryzen 5 5600GT 3.6 GHz AM4 Socket 6 Cores 12 Thread...,"₹12,959",Silver,4.5
"SHIDHMI Laptop Pad Desk Pad, PU Leather Office Desk Mat...",₹849,Dark Blue,4.4
"Sup Game Box 500 in 1, Video Games for Kids, Handheld G...",₹608,Code in the Box - for PC,3.5
GREEN SOUL Monster Ult. (S) Multi-Functional Ergonomic ...,"₹19,699","Black, Blue",4.4
Smacc  TV-out Cable Digital Optical Audio Cable Toslink...,₹399,"Black, For TV, 1 m",3.9
"Elixora IceStorm RGB Gaming Phone Cooler , Silent Cooli...","₹1,419","Multicolor, For Android, iOS",3.8
"Cubonic Magnetic Phone Cooler Fan, RGB Portable Radiato...","₹1,199","Black, For Android, iOS",4.1
Logitech Mouse Pad Graphite Mousepad,₹790,Black,4.4
Bestor Dual-Sided Multifunctional Desk Pad For PC/LAPTO...,₹699,Red&Black,4.5
We Desi Stuff Gta Mousepad | Gaming Mousepad Mousepad,₹211,Multicolor,4
AMD Ryzen 7 9700X 3.8 GHz Upto 5.5 GHz AM5 Socket 8 Cor...,"₹36,219",Silver,5
GIGABYTE NVIDIA GV-N3050WF2OC-6GD GeForce RTX 3050 WIND...,"₹17,490",Black,4.8
processsor Ultra 3.1 GHz LGA 1155 Core i3 2nd Generatio...,₹490,Silver,4
SONY Playstation DUALSENSE PS5 Wireless Joystick Gamepa...,"₹6,389","White, For PS5",4.6
Kreo Mirage Wireless RGB Gaming controller gamepad For ...,"₹2,249","Black, For Android, iOS, PC, PS4, Windows 10",4
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (8 G...,"₹52,990","15.6 inch, Graphite Black, 2.30 Kg",4.2
AMD Ryzen 5 7600 3.8 GHz Upto 5.1 GHz AM5 Socket 6 Core...,"₹19,269",Silver,4.6
ASUS AMD/ATI Dual Radeon RX 7600 XT OC Edition 16 GB GD...,"₹33,540",Black,4.5
ENTWINO X3 Game Controller Wireless/BT Gamepad for Andr...,₹679,"Black & Red, For Android, Mac OS, iOS, PS3",3.6
Bestor Dual-Sided Multifunctional Desk Pad For PC/LAPTO...,₹699,Silver&Grey,4.5
"Cubonic X76 Wired Magnetic Mobile Cooler, Gaming Fan, E...","₹1,199",Black,4.2
GIGABYTE NVIDIA GeForce GTX 1650 D6 pci_e_x16 WINDFORCE...,"₹12,599",Black,4.3
Hgworld Retro Game Stick 2.4G Wireless Classic Video Ga...,"₹1,553","Black, 25000+ Games, Super Contra & Many More Games, TV Video Games, Yes",3.4
EASYCAP  TV-out Cable GD2355,₹430,"Black, For Laptop",3.7
"TEZINICX Thumb Yellow Sleeve Pubg Anti-Slip , Slip-Proo...",₹137,"Multicolor, For Android",4.2
"Bestor PU Vegan Leather Mouse Pad, Reversible use, Suit...",₹229,Blue&Tan,4.2
AMD Ryzen 7 7700X 4.5 GHz Upto 5.4 GHz AM5 Socket 8 Cor...,"₹33,039",Silver,3.9
"PowerA Officially LicensedWired Controller for PC, USB ...","₹2,599","Black, For Xbox Series S, Xbox Series X, Xbox One, Windows 10",4.5
"DARSHANAM WORLD Keyboard Mat, Mouse Pad Shortcut Keys D...",₹198,Black,4.3
Acer Nitro V AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 ...,"₹56,990","15.6 Inch, Obsidian Black, 2.1 Kg",4.3
ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS - (16 ...,"₹55,990","15.6 Inch, Graphite Black, 2.30 Kg",4.4
GEONIX GXLCP-036 2 Fan Cooling Pad,₹699,Black,3.7
"Cubonic X76 Wired Magnetic Mobile Cooler, Gaming Fan, E...","₹1,199",Black,4.2
PS4 GTA V Premium Edition (Premium Edition),"₹1,722",for PS4,4.2
Deepcool RF120FS 120mm 1500 RPM Case Fan Cooler,₹418,Black,4.7
